timestamp_deteccion,connector_id,operator_name,estado_anterior,estado_nuevo,api_last_updated,power_type,max_electric_power,standard,location_name,operador_agrupado,tramo_potencia,commune,region
2026-09-02T13:22:39+00:00,697,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T12:08:28.064005+00:00,DC,22,CCS 2,Enel XWay ELECTROLINERA PETROBRAS CONCHA Y TORO,Enel,(7-22],Puente Alto,Metropolitana,Enel,Enel
2026-09-02T13:22:39+00:00,4746,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:04:41.093204+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 60050 - VITACURA,Copec Voltex,150,Vitacura,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:22:39+00:00,1149,ENEL X,FUERA DE LINEA,DISPONIBLE,2026-09-02T12:15:09.990652+00:00,DC,60,CCS 2,Enel X Way-Arauco Buenaventura.,Enel,(50-150],Quilicura,Metropolitana,Enel,Enel
2026-09-02T13:22:39+00:00,7365,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T12:47:05.879322+00:00,DC,240,CCS 2,SAVE VOLTEX LA FLORIDA,Copec Voltex,150,La Florida,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:22:39+00:00,1147,ENEL X,FUERA DE LINEA,OCUPADO,2026-09-02T13:08:00.856269+00:00,DC,60,CCS 2,Enel X Way-Arauco Buenaventura.,Enel,(50-150],Quilicura,Metropolitana,Enel,Enel
2026-09-02T13:22:39+00:00,1346,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T11:53:48.537455+00:00,AC,3.5,Tipo 2,SAVE Edif. Entrelomas AV. Costa de Montemar #264,Copec Voltex,7,Concón,Valparaíso,Copec Voltex,Copec Voltex
2026-09-02T13:22:39+00:00,319,ENEL X,DISPONIBLE,NO DISPONIBLE,2026-09-02T13:18:39.105833+00:00,AC,7,Tipo 2,Mc Donalds Kennedy,Enel,7,Las Condes,Metropolitana,Enel,Enel
2026-09-02T13:22:39+00:00,8610,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:18:21.033800+00:00,DC,240,CCS 2,SAVE VOLTEX BILBAO EDS 60419,Copec Voltex,150,Providencia,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:22:39+00:00,1006,ENEL X,OCUPADO,DISPONIBLE,2026-09-02T13:18:39.590655+00:00,DC,60,CCS 2,Enel X Way - Petrobras Rotonda Atenas,Enel,(50-150],Las Condes,Metropolitana,Enel,Enel
2026-09-02T13:22:39+00:00,3098,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T13:03:37.494358+00:00,AC,22,Tipo 2,Enel X - Mall Sport,Enel,(7-22],Las Condes,Metropolitana,Enel,Enel
2026-09-02T13:22:39+00:00,9092,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T12:52:02.068257+00:00,DC,180,CCS 2,VOLTEX CARGADOR ELECTRICO EL COBRE,Copec Voltex,150,Rancagua,Libertador Bernardo OHiggins,Copec Voltex,Copec Voltex
2026-09-02T13:22:39+00:00,2311,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:20:09.649721+00:00,AC,22,Tipo 2,COPEC SAN RAMON - LAS CONDES,Copec Voltex,(7-22],Las Condes,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:22:39+00:00,701,ENEL X,OCUPADO,DISPONIBLE,2026-09-02T13:08:37.931656+00:00,AC,7.4,Tipo 2,Enel X Way - Cargadores Mas Center Cd. Empresarial,Enel,7,Huechuraba,Metropolitana,Enel,Enel
2026-09-02T13:22:39+00:00,2437,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:04:38.443014+00:00,DC,180,CCS 2,COPEC CALLE 2 NORTE 2310 TALCA EDS 20431,Copec Voltex,150,Talca,Maule,Copec Voltex,Copec Voltex
2026-09-02T13:22:39+00:00,274,COPEC VOLTEX,DISPONIBLE,FUERA DE LINEA,2026-09-02T12:52:34.083633+00:00,DC,50,CCS 2,COPEC Parcela 20 Las Vegas de La Serena,Copec Voltex,(22-50],La Serena,Coquimbo,Copec Voltex,Copec Voltex
2026-09-02T13:22:39+00:00,690,ENEL X,DISPONIBLE,FUERA DE LINEA,2026-09-02T13:18:39.323803+00:00,DC,60,CCS 2,IRVE Tottus Vicuña Mackena,Enel,(50-150],Santiago,Metropolitana,Enel,Enel
2026-09-02T13:22:39+00:00,9127,Enerlink Chile SpA,OCUPADO,DISPONIBLE,2026-09-02T13:06:30.529378+00:00,DC,50,CCS 2,Electrolinera ENEX Portugal 175 Santiago File 647,Enerlink,(22-50],Santiago,Metropolitana,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:22:39+00:00,9381,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:10:58.761219+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 60079 - COSTANERA NORTE KM 2,Copec Voltex,150,Vitacura,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:22:39+00:00,346,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T12:52:10.263253+00:00,AC,22,Tipo 2,Williams Rebolledo,Copec Voltex,(7-22],Curacaví,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:22:39+00:00,8855,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T12:28:32.452565+00:00,DC,30,CCS 2,Enel X - EDS Aramco Quilicura ,Enel,(22-50],Quilicura,Metropolitana,Enel,Enel
2026-09-02T13:22:39+00:00,8111,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:03:14.043829+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 20019 - PAICAVI,Copec Voltex,150,Concepción,Biobío,Copec Voltex,Copec Voltex
2026-09-02T13:22:39+00:00,8155,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T12:51:45.385038+00:00,DC,60,CCS 2,IRVE Strip Center Padre Hurtado,Enel,(50-150],Las Condes,Metropolitana,Enel,Enel
2026-09-02T13:22:39+00:00,9175,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:22:22.853563+00:00,AC,7.4,Tipo 2,COPEC VOLTEX; SERV  CLINICA MEDS,Copec Voltex,7,Lo Barnechea,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:22:39+00:00,973,Enerlink Chile SpA,OCUPADO,DISPONIBLE,2026-08-12T18:05:20.671330+00:00,AC,22,Tipo 2,Enex E-Pro Shell Pablo Neruda Temuco,Enerlink,(7-22],Temuco,La Araucanía,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:22:39+00:00,8157,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T13:03:50.778403+00:00,DC,60,CCS 2,IRVE Tottus Catedral,Enel,(50-150],Santiago,Metropolitana,Enel,Enel
2026-09-02T13:22:39+00:00,8792,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:10:54.777246+00:00,DC,240,CCS 2,Cargador Eléctrico Copec Quillota,Copec Voltex,150,Quillota,Valparaíso,Copec Voltex,Copec Voltex
2026-09-02T13:22:39+00:00,2305,Enerlink Chile SpA,OCUPADO,DISPONIBLE,2026-09-02T12:54:38.694502+00:00,AC,7.04,Tipo 2,Proyecto EV Curicó,Enerlink,7,Curicó,Maule,Enerlink,Enerlink
2026-09-02T13:22:39+00:00,8730,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T12:43:43.491579+00:00,DC,180,CCS 2,VOLTEX COPEC CONSISTORIAL,Copec Voltex,150,Penalolén,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:27:43+00:00,1817,Enerlink Chile SpA,DISPONIBLE,OCUPADO,2026-09-02T09:46:25.207256+00:00,DC,120,CCS 2,Enex E-Pro Shell Colina,Enerlink,(50-150],Colina,Metropolitana,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:27:43+00:00,1660,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:23:12.122942+00:00,DC,120,CCS 2,COPEC VOLTEX EDS 60741 - COSTANERA NORTE,Copec Voltex,(50-150],Vitacura,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:27:43+00:00,7276,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T13:23:35.583444+00:00,DC,30,CCS 2,Enel X - EDS Petrobras Pajaritos ,Enel,(22-50],Maipú,Metropolitana,Enel,Enel
2026-09-02T13:27:43+00:00,31,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:26:12.402268+00:00,DC,50,CCS 2,COPEC Colina,Copec Voltex,(22-50],Colina,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:27:43+00:00,492,Enerlink Chile SpA,DISPONIBLE,FUERA DE LINEA,2026-09-02T13:26:19.655430+00:00,AC,43,Tipo 2,Enex E-Pro Shell Parral,Enerlink,(22-50],Parral,Maule,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:27:43+00:00,4807,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:24:00.706024+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 20407 - SAN PEDRO DE LA PAZ,Copec Voltex,150,San Pedro de la Paz,Biobío,Copec Voltex,Copec Voltex
2026-09-02T13:27:43+00:00,728,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T13:23:35.377772+00:00,DC,60,CCS 2,Enel X Way - Petrobras Pedro Fontova,Enel,(50-150],Huechuraba,Metropolitana,Enel,Enel
2026-09-02T13:27:43+00:00,8795,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:24:22.738187+00:00,DC,240,CCS 2,Cargador Electrico Copec Talca,Copec Voltex,150,Talca,Maule,Copec Voltex,Copec Voltex
2026-09-02T13:27:43+00:00,3217,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:24:21.708010+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 60312 - RUTA 68,Copec Voltex,150,Pudahuel,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:27:43+00:00,494,Enerlink Chile SpA,DISPONIBLE,FUERA DE LINEA,2026-09-02T13:26:19.655430+00:00,DC,50,CCS 2,Enex E-Pro Shell Parral,Enerlink,(22-50],Parral,Maule,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:27:43+00:00,7272,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T13:22:35.835414+00:00,DC,60,CCS 2,Enel X - EDS Petrobras Pajaritos ,Enel,(50-150],Maipú,Metropolitana,Enel,Enel
2026-09-02T13:27:43+00:00,445,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:22:52.321632+00:00,AC,7.4,Tipo 2,COPEC VOLTEX - Mall Plaza La Serena,Copec Voltex,7,La Serena,Coquimbo,Copec Voltex,Copec Voltex
2026-09-02T13:27:43+00:00,9175,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:22:36.524298+00:00,AC,7.4,Tipo 2,COPEC VOLTEX; SERV  CLINICA MEDS,Copec Voltex,7,Lo Barnechea,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:27:43+00:00,1186,ENEL X,DISPONIBLE,FUERA DE LINEA,2026-09-02T13:27:13.919818+00:00,AC,7.4,Tipo 2,Enel X Way - Espacio Urbano Las Rejas,Enel,7,Estación Central,Metropolitana,Enel,Enel
2026-09-02T13:27:43+00:00,268,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:24:52.275203+00:00,DC,50,CCS 2,COPEC Ruta 5 Sur km 484. Los Alamos,Copec Voltex,(22-50],Los Alamos,Biobío,Copec Voltex,Copec Voltex
2026-09-02T13:27:43+00:00,8684,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:23:24.874654+00:00,DC,50,CCS 2,"Copec Costanera Norte, Pudahuel",Copec Voltex,(22-50],Pudahuel,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:27:43+00:00,9381,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:22:54.852234+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 60079 - COSTANERA NORTE KM 2,Copec Voltex,150,Vitacura,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:27:43+00:00,966,Enerlink Chile SpA,DISPONIBLE,OCUPADO,2026-08-30T03:28:23.679693+00:00,AC,22,Tipo 2,Enex E-Pro Shell República de Chile Rancagua,Enerlink,(7-22],Rancagua,Libertador Bernardo OHiggins,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:27:43+00:00,6829,ENEL X,OCUPADO,DISPONIBLE,2026-09-02T13:23:35.057626+00:00,DC,60,CCS 2,Enel X - EDS Aramco Eliodoro Yañez,Enel,(50-150],Providencia,Metropolitana,Enel,Enel
2026-09-02T13:27:43+00:00,267,COPEC VOLTEX,FUERA DE LINEA,DISPONIBLE,2026-09-02T13:24:52.275203+00:00,DC,50,CHAdeMO,COPEC Ruta 5 Sur km 484. Los Alamos,Copec Voltex,(22-50],Los Alamos,Biobío,Copec Voltex,Copec Voltex
2026-09-02T13:27:43+00:00,493,Enerlink Chile SpA,DISPONIBLE,FUERA DE LINEA,2026-09-02T13:26:19.655430+00:00,DC,50,CHAdeMO,Enex E-Pro Shell Parral,Enerlink,(22-50],Parral,Maule,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:27:43+00:00,7469,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:25:04.527796+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 60001 - PEDRO FONTOVA,Copec Voltex,150,Huechuraba,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:27:43+00:00,8683,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:23:24.874654+00:00,DC,50,CHAdeMO,"Copec Costanera Norte, Pudahuel",Copec Voltex,(22-50],Pudahuel,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:32:47+00:00,1041,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T13:28:35.323793+00:00,DC,60,CCS 2,Enel X Way - MUT,Enel,(50-150],Las Condes,Metropolitana,Enel,Enel
2026-09-02T13:32:47+00:00,1004,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T13:28:36.095598+00:00,DC,60,CCS 2,Enel X Way - Petrobras Rotonda Atenas,Enel,(50-150],Las Condes,Metropolitana,Enel,Enel
2026-09-02T13:32:47+00:00,4782,ENEL X,DISPONIBLE,FUERA DE LINEA,2026-09-02T13:30:21.449074+00:00,DC,150,CCS 2,Enel X Way - Bodega San Francisco,Enel,(50-150],Pudahuel,Metropolitana,Enel,Enel
2026-09-02T13:32:47+00:00,319,ENEL X,NO DISPONIBLE,FUERA DE LINEA,2026-09-02T13:30:47.127321+00:00,AC,7,Tipo 2,Mc Donalds Kennedy,Enel,7,Las Condes,Metropolitana,Enel,Enel
2026-09-02T13:32:47+00:00,517,ENEL X,OCUPADO,DISPONIBLE,2026-09-02T13:31:24.815090+00:00,DC,60,CCS 2,Estación de Servicio Enel X Station,Enel,(50-150],Pudahuel,Metropolitana,Enel,Enel
2026-09-02T13:32:47+00:00,9119,Enerlink Chile SpA,OCUPADO,DISPONIBLE,2026-09-02T13:31:24.939186+00:00,DC,148.96,CCS 2,SAVE SHELL AV. VICUÑA MACKENNA,Enerlink,(50-150],La Florida,Metropolitana,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:32:47+00:00,1186,ENEL X,FUERA DE LINEA,DISPONIBLE,2026-09-02T13:27:53.732640+00:00,AC,7.4,Tipo 2,Enel X Way - Espacio Urbano Las Rejas,Enel,7,Estación Central,Metropolitana,Enel,Enel
2026-09-02T13:32:47+00:00,8733,Enerlink Chile SpA,OCUPADO,DISPONIBLE,2026-09-02T10:46:21.189931+00:00,DC,70,CCS 2,Cargador publico Enex File 130,Enerlink,(50-150],Recoleta,Metropolitana,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:32:47+00:00,2302,Enerlink Chile SpA,OCUPADO,DISPONIBLE,2026-09-02T13:29:51.220683+00:00,AC,7.04,Tipo 2,Proyecto EV Curicó,Enerlink,7,Curicó,Maule,Enerlink,Enerlink
2026-09-02T13:32:47+00:00,1123,Enerlink Chile SpA,DISPONIBLE,OCUPADO,2026-09-01T21:55:39.220349+00:00,DC,50,CCS 2,Enex E-Pro Shell Paicaví,Enerlink,(22-50],Concepción,Biobío,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:32:47+00:00,492,Enerlink Chile SpA,FUERA DE LINEA,DISPONIBLE,2026-09-02T13:31:55.203789+00:00,AC,43,Tipo 2,Enex E-Pro Shell Parral,Enerlink,(22-50],Parral,Maule,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:32:47+00:00,4783,ENEL X,DISPONIBLE,FUERA DE LINEA,2026-09-02T13:30:21.449074+00:00,DC,150,CCS 2,Enel X Way - Bodega San Francisco,Enel,(50-150],Pudahuel,Metropolitana,Enel,Enel
2026-09-02T13:32:47+00:00,9092,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:29:48.259348+00:00,DC,180,CCS 2,VOLTEX CARGADOR ELECTRICO EL COBRE,Copec Voltex,150,Rancagua,Libertador Bernardo OHiggins,Copec Voltex,Copec Voltex
2026-09-02T13:32:47+00:00,1656,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:31:10.660850+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 60741 - COSTANERA NORTE,Copec Voltex,150,Vitacura,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:32:47+00:00,494,Enerlink Chile SpA,FUERA DE LINEA,DISPONIBLE,2026-09-02T13:31:55.203789+00:00,DC,50,CCS 2,Enex E-Pro Shell Parral,Enerlink,(22-50],Parral,Maule,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:32:47+00:00,9196,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:28:02.660734+00:00,DC,180,CCS 2,CARGADOR VOLTEX E/S COPEC PAJARITOS,Copec Voltex,150,Maipú,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:32:47+00:00,3219,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:31:58.769611+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 60312 - RUTA 68,Copec Voltex,150,Pudahuel,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:32:47+00:00,2299,Enerlink Chile SpA,OCUPADO,DISPONIBLE,2026-09-02T13:29:59.750325+00:00,AC,7.04,Tipo 2,Proyecto EV Curicó,Enerlink,7,Curicó,Maule,Enerlink,Enerlink
2026-09-02T13:32:47+00:00,22,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:28:24.696340+00:00,DC,50,CCS 2,COPEC Chillán,Copec Voltex,(22-50],Chillán Viejo,Ñuble,Copec Voltex,Copec Voltex
2026-09-02T13:32:47+00:00,9194,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:32:13.771297+00:00,DC,180,CCS 2,CARGADOR VOLTEX E/S COPEC PAJARITOS,Copec Voltex,150,Maipú,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:32:47+00:00,731,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T13:29:07.566291+00:00,AC,22,Tipo 2,Enel X Way - Petrobras Lo Prado,Enel,(7-22],Lo Prado,Metropolitana,Enel,Enel
2026-09-02T13:32:47+00:00,4744,Enerlink Chile SpA,DISPONIBLE,OCUPADO,2026-09-01T14:47:54.610477+00:00,DC,50,CCS 2,Enex E-Pro Munita Puerto Montt,Enerlink,(22-50],Puerto Montt,Los Lagos,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:32:47+00:00,2300,Enerlink Chile SpA,OCUPADO,DISPONIBLE,2026-09-02T13:29:43.309779+00:00,AC,7.04,Tipo 2,Proyecto EV Curicó,Enerlink,7,Curicó,Maule,Enerlink,Enerlink
2026-09-02T13:32:47+00:00,9177,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:31:44.165555+00:00,AC,7.4,Tipo 2,COPEC VOLTEX; SERV  CLINICA MEDS,Copec Voltex,7,Lo Barnechea,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:32:47+00:00,318,ENEL X,NO DISPONIBLE,FUERA DE LINEA,2026-09-02T13:30:47.127321+00:00,AC,7,Tipo 2,Mc Donalds Kennedy,Enel,7,Las Condes,Metropolitana,Enel,Enel
2026-09-02T13:32:47+00:00,493,Enerlink Chile SpA,FUERA DE LINEA,DISPONIBLE,2026-09-02T13:31:55.203789+00:00,DC,50,CHAdeMO,Enex E-Pro Shell Parral,Enerlink,(22-50],Parral,Maule,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-02T13:32:47+00:00,519,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T13:32:14.618286+00:00,DC,60,CCS 2,Estación de Servicio Enel X Station,Enel,(50-150],Pudahuel,Metropolitana,Enel,Enel
2026-09-02T13:32:47+00:00,3218,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:31:58.769611+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 60312 - RUTA 68,Copec Voltex,150,Pudahuel,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:37:51+00:00,9382,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:34:54.708729+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 60079 - COSTANERA NORTE KM 2,Copec Voltex,150,Vitacura,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:37:51+00:00,7472,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:36:05.275429+00:00,DC,240,CCS 2,COPEC VOLTEX EDS 60711 - MACUL,Copec Voltex,150,Macul,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:37:51+00:00,8913,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:36:59.037482+00:00,DC,240,CCS 2,Cargador Eléctrico Copec Ovalle,Copec Voltex,150,Ovalle,Coquimbo,Copec Voltex,Copec Voltex
2026-09-02T13:37:51+00:00,2432,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:36:25.756212+00:00,DC,120,CCS 2,SAVE VOLTEX 40609 VIÑA DEL MAR,Copec Voltex,(50-150],Vina del Mar,Valparaíso,Copec Voltex,Copec Voltex
2026-09-02T13:37:51+00:00,559,ENEL X,OCUPADO,DISPONIBLE,2026-09-02T12:33:50.224154+00:00,DC,60,CCS 2,Enel X  Way Privado- ESPACIO URBANO PTE ALTO,Enel,(50-150],Puente Alto,Metropolitana,Enel,Enel
2026-09-02T13:37:51+00:00,6840,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T13:34:54.780875+00:00,DC,30,CCS 2,Enel X - EDS Petrobras Isabel La Católica,Enel,(22-50],Las Condes,Metropolitana,Enel,Enel
2026-09-02T13:37:51+00:00,1658,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:37:21.578040+00:00,DC,120,CCS 2,COPEC VOLTEX EDS 60741 - COSTANERA NORTE,Copec Voltex,(50-150],Vitacura,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:37:51+00:00,4783,ENEL X,FUERA DE LINEA,NO DISPONIBLE,2026-09-02T13:33:40.221897+00:00,DC,150,CCS 2,Enel X Way - Bodega San Francisco,Enel,(50-150],Pudahuel,Metropolitana,Enel,Enel
2026-09-02T13:37:51+00:00,8715,ENEL X,OCUPADO,DISPONIBLE,2026-09-02T13:03:40.729698+00:00,DC,50,CHAdeMO,Enel X Way - Rojas Magallanes,Enel,(22-50],La Florida,Metropolitana,Enel,Enel
2026-09-02T13:37:51+00:00,731,ENEL X,OCUPADO,DISPONIBLE,2026-09-02T13:37:12.286535+00:00,AC,22,Tipo 2,Enel X Way - Petrobras Lo Prado,Enel,(7-22],Lo Prado,Metropolitana,Enel,Enel
2026-09-02T13:37:51+00:00,7315,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T13:32:05.380822+00:00,DC,30,CCS 2,Enel X - Movicenter Huechuraba,Enel,(22-50],Huechuraba,Metropolitana,Enel,Enel
2026-09-02T13:37:51+00:00,1392,ENEL X,OCUPADO,DISPONIBLE,2026-09-02T13:33:40.412194+00:00,DC,150,CCS 2,CARGADOR DE 300KW EN ELECTROLINERA ENEL X STATION,Enel,(50-150],Pudahuel,Metropolitana,Enel,Enel
2026-09-02T13:37:51+00:00,9092,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:37:00.384037+00:00,DC,180,CCS 2,VOLTEX CARGADOR ELECTRICO EL COBRE,Copec Voltex,150,Rancagua,Libertador Bernardo OHiggins,Copec Voltex,Copec Voltex
2026-09-02T13:37:51+00:00,7360,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-02T13:33:08.654738+00:00,DC,240,CCS 2,COPEC VOLTEX EDS 60220 - ALBERTO LLONA,Copec Voltex,150,Maipú,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:37:51+00:00,8859,Enerlink Chile SpA,NO DISPONIBLE,DISPONIBLE,2026-09-02T13:35:08.718993+00:00,DC,60,GB/T DC,Cargador Gasco Cueto,Enerlink,(50-150],Santiago,Metropolitana,Gasco GLP SA,Enerlink
2026-09-02T13:37:51+00:00,9090,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:33:09.179830+00:00,DC,240,CCS 2,SAVE VOLTEX LAGUNA DE CHICUREO EDS 60288,Copec Voltex,150,Colina,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:37:51+00:00,8609,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:35:48.443991+00:00,DC,240,CCS 2,SAVE VOLTEX BILBAO EDS 60419,Copec Voltex,150,Providencia,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:37:51+00:00,8860,Enerlink Chile SpA,NO DISPONIBLE,DISPONIBLE,2026-09-02T13:35:00.234504+00:00,DC,120,CCS 2,Cargador Gasco Cueto,Enerlink,(50-150],Santiago,Metropolitana,Gasco GLP SA,Enerlink
2026-09-02T13:37:51+00:00,8858,Enerlink Chile SpA,NO DISPONIBLE,DISPONIBLE,2026-09-02T13:35:08.718993+00:00,DC,60,CCS 2,Cargador Gasco Cueto,Enerlink,(50-150],Santiago,Metropolitana,Gasco GLP SA,Enerlink
2026-09-02T13:37:51+00:00,1313,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-02T13:36:21.769719+00:00,DC,50,CCS 2,IRVE GENERAL VELASQUEZ 9301 SAN BERNARDO,Copec Voltex,(22-50],San Bernardo,Metropolitana,Copec Voltex,Copec Voltex
2026-09-02T13:37:51+00:00,8861,Enerlink Chile SpA,NO DISPONIBLE,DISPONIBLE,2026-09-02T13:35:00.234504+00:00,DC,120,GB/T DC,Cargador Gasco Cueto,Enerlink,(50-150],Santiago,Metropolitana,Gasco GLP SA,Enerlink
2026-09-02T13:37:51+00:00,1147,ENEL X,OCUPADO,DISPONIBLE,2026-09-02T13:33:50.378114+00:00,DC,60,CCS 2,Enel X Way-Arauco Buenaventura.,Enel,(50-150],Quilicura,Metropolitana,Enel,Enel
2026-09-02T13:37:51+00:00,692,Enerlink Chile SpA,DISPONIBLE,OCUPADO,2026-08-31T18:01:00.203686+00:00,DC,50,CCS 2,Enex E-Pro Shell Colón Vespucio ,Enerlink,(22-50],Las Condes,Metropolitana,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
