timestamp_deteccion,connector_id,operator_name,estado_anterior,estado_nuevo,api_last_updated,power_type,max_electric_power,standard,location_name,operador_agrupado,tramo_potencia,commune,region
2026-09-03T23:42:56+00:00,1659,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:41:33.016175+00:00,DC,120,CCS 2,COPEC VOLTEX EDS 60741 - COSTANERA NORTE,Copec Voltex,(50-150],Vitacura,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:42:56+00:00,12,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-03T23:42:03.553644+00:00,DC,50,CCS 2,COPEC Santo Domingo,Copec Voltex,(22-50],Santo Domingo,Valparaíso,Copec Voltex,Copec Voltex
2026-09-03T23:42:56+00:00,7316,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:41:29.406906+00:00,DC,180,CCS 2,Estacion de Servicio Copec NOS,Copec Voltex,150,San Bernardo,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:42:56+00:00,9192,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:41:43.484537+00:00,DC,180,CCS 2,VOLTEX LOS TOROS,Copec Voltex,150,Puente Alto,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:42:56+00:00,1656,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-03T23:42:02.207928+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 60741 - COSTANERA NORTE,Copec Voltex,150,Vitacura,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:43:52+00:00,9192,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-03T23:43:14.480097+00:00,DC,180,CCS 2,VOLTEX LOS TOROS,Copec Voltex,150,Puente Alto,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:43:52+00:00,9191,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-03T23:43:14.480097+00:00,DC,180,CCS 2,VOLTEX LOS TOROS,Copec Voltex,150,Puente Alto,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:43:52+00:00,699,ENEL X,DISPONIBLE,OCUPADO,2026-09-03T23:42:43.322970+00:00,DC,60,CCS 2,Enel XWay ELECTROLINERA PETROBRAS CONCHA Y TORO,Enel,(50-150],Puente Alto,Metropolitana,Enel,Enel
2026-09-03T23:43:52+00:00,10,COPEC VOLTEX,DISPONIBLE,FUERA DE LINEA,2026-09-03T23:43:10.080414+00:00,DC,50,CCS 2,COPEC Llay Llay,Copec Voltex,(22-50],Llaillay,Valparaíso,Copec Voltex,Copec Voltex
2026-09-03T23:43:52+00:00,712,ENEL X,DISPONIBLE,FUERA DE LINEA,2026-09-03T23:43:10.859713+00:00,DC,60,CCS 2,IRVE Espacio Urbano Maipú,Enel,(50-150],Maipú,Metropolitana,Enel,Enel
2026-09-03T23:43:52+00:00,713,ENEL X,DISPONIBLE,FUERA DE LINEA,2026-09-03T23:43:10.859713+00:00,DC,60,CCS 2,IRVE Espacio Urbano Maipú,Enel,(50-150],Maipú,Metropolitana,Enel,Enel
2026-09-03T23:43:52+00:00,7317,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:42:30.880139+00:00,DC,180,CCS 2,Estacion de Servicio Copec NOS,Copec Voltex,150,San Bernardo,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:43:52+00:00,9,COPEC VOLTEX,DISPONIBLE,FUERA DE LINEA,2026-09-03T23:43:10.080414+00:00,DC,50,CHAdeMO,COPEC Llay Llay,Copec Voltex,(22-50],Llaillay,Valparaíso,Copec Voltex,Copec Voltex
2026-09-03T23:43:52+00:00,689,ENEL X,FUERA DE LINEA,DISPONIBLE,2026-09-03T23:42:48.283562+00:00,DC,60,CCS 2,IRVE Tottus Vicuña Mackena,Enel,(50-150],Santiago,Metropolitana,Enel,Enel
2026-09-03T23:44:52+00:00,12,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:44:23.491936+00:00,DC,50,CCS 2,COPEC Santo Domingo,Copec Voltex,(22-50],Santo Domingo,Valparaíso,Copec Voltex,Copec Voltex
