vista,fecha,empresa,tramo_potencia,power_type,transacciones
owner,2026-09-02,Enerlink,(22-50],DC,119
owner,2026-09-02,Copec Voltex,(50-150],,69
owner,2026-09-02,Copec Voltex,(50-150],DC,69
owner,2026-09-02,Enel,(7-22],,53
owner,2026-09-02,Enel,(7-22],AC,46
owner,2026-09-02,Copec Voltex,7,,37
owner,2026-09-02,Copec Voltex,7,AC,37
owner,2026-09-02,Copec Voltex,(7-22],,37
owner,2026-09-02,Copec Voltex,(7-22],AC,37
owner,2026-09-02,Enel,7,,32
owner,2026-09-02,Enel,7,AC,32
owner,2026-09-02,Enerlink,(7-22],,31
owner,2026-09-02,Enerlink,(7-22],AC,31
owner,2026-09-02,Enerlink,150,,16
owner,2026-09-02,Enerlink,150,DC,16
owner,2026-09-02,Enerlink,7,,12
owner,2026-09-02,Enerlink,7,AC,12
owner,2026-09-02,Enel,(50-150],AC,8
owner,2026-09-02,Enel,(7-22],DC,7
owner,2026-09-02,Enel,150,,4
owner,2026-09-02,Enel,150,DC,4
owner,2026-09-02,Enerlink,(22-50],AC,2
owner,2026-09-03,Copec Voltex,150,,838
owner,2026-09-03,Copec Voltex,150,DC,838
owner,2026-09-03,Enel,(50-150],,643
owner,2026-09-03,Enel,(50-150],DC,636
owner,2026-09-03,Enerlink,(50-150],,323
owner,2026-09-03,Enerlink,(50-150],DC,323
owner,2026-09-03,Enel,(22-50],,254
owner,2026-09-03,Enel,(22-50],DC,254
owner,2026-09-03,Copec Voltex,(22-50],,176
owner,2026-09-03,Copec Voltex,(22-50],DC,176
owner,2026-09-03,Enerlink,(22-50],,142
owner,2026-09-03,Enerlink,(22-50],DC,139
owner,2026-09-03,Copec Voltex,(50-150],,87
owner,2026-09-03,Copec Voltex,(50-150],DC,87
owner,2026-09-03,Enel,(7-22],,65
owner,2026-09-03,Enel,(7-22],AC,62
owner,2026-09-03,Copec Voltex,(7-22],,54
owner,2026-09-03,Copec Voltex,(7-22],AC,54
owner,2026-09-03,Enel,7,,43
owner,2026-09-03,Enel,7,AC,43
owner,2026-09-03,Copec Voltex,7,,39
owner,2026-09-03,Copec Voltex,7,AC,39
owner,2026-09-03,Enerlink,150,,22
owner,2026-09-03,Enerlink,150,DC,22
owner,2026-09-03,Enerlink,(7-22],,21
owner,2026-09-03,Enerlink,(7-22],AC,21
owner,2026-09-03,Enerlink,7,,10
owner,2026-09-03,Enerlink,7,AC,10
owner,2026-09-03,Enel,(50-150],AC,7
owner,2026-09-03,Enel,150,,5
owner,2026-09-03,Enel,150,DC,5
owner,2026-09-03,Enerlink,(22-50],AC,3
owner,2026-09-03,Enel,(7-22],DC,3
owner,2026-09-04,Copec Voltex,150,,518
owner,2026-09-04,Copec Voltex,150,DC,518
owner,2026-09-04,Enel,(50-150],,407
owner,2026-09-04,Enel,(50-150],DC,394
owner,2026-09-04,Enerlink,(50-150],,166
owner,2026-09-04,Enerlink,(50-150],DC,166
owner,2026-09-04,Enel,(22-50],,155
owner,2026-09-04,Enel,(22-50],DC,155
owner,2026-09-04,Copec Voltex,(22-50],,115
owner,2026-09-04,Copec Voltex,(22-50],DC,115
owner,2026-09-04,Enerlink,(22-50],,95
owner,2026-09-04,Enerlink,(22-50],DC,90
owner,2026-09-04,Copec Voltex,(50-150],,55
owner,2026-09-04,Copec Voltex,(50-150],DC,55
owner,2026-09-04,Enel,(7-22],,38
owner,2026-09-04,Enel,(7-22],AC,36
owner,2026-09-04,Enel,7,,29
owner,2026-09-04,Enel,7,AC,29
owner,2026-09-04,Copec Voltex,7,,27
owner,2026-09-04,Copec Voltex,7,AC,27
owner,2026-09-04,Enel,150,,18
owner,2026-09-04,Enel,150,DC,18
owner,2026-09-04,Copec Voltex,(7-22],,17
owner,2026-09-04,Copec Voltex,(7-22],AC,17
owner,2026-09-04,Enerlink,(7-22],,13
owner,2026-09-04,Enerlink,(7-22],AC,13
owner,2026-09-04,Enel,(50-150],AC,13
owner,2026-09-04,Enerlink,150,,11
owner,2026-09-04,Enerlink,150,DC,11
owner,2026-09-04,Enerlink,(22-50],AC,5
owner,2026-09-04,Enerlink,7,,2
owner,2026-09-04,Enerlink,7,AC,2
owner,2026-09-04,Enel,(7-22],DC,2
pse,2026-09-01,Copec Voltex,150,,146
pse,2026-09-01,Copec Voltex,150,DC,146
pse,2026-09-01,Enel,(50-150],,97
pse,2026-09-01,Enel,(50-150],DC,96
pse,2026-09-01,Enerlink,(50-150],,49
pse,2026-09-01,Enerlink,(50-150],DC,49
pse,2026-09-01,Copec Voltex,(22-50],,37
pse,2026-09-01,Copec Voltex,(22-50],DC,37
pse,2026-09-01,Enel,(22-50],,30
pse,2026-09-01,Enel,(22-50],DC,30
pse,2026-09-01,Enerlink,(22-50],,26
pse,2026-09-01,Enerlink,(22-50],DC,25
pse,2026-09-01,Copec Voltex,(50-150],,12
pse,2026-09-01,Copec Voltex,(50-150],DC,12
pse,2026-09-01,Copec Voltex,(7-22],,10
pse,2026-09-01,Copec Voltex,(7-22],AC,10
pse,2026-09-01,Enel,(7-22],,8
pse,2026-09-01,Enel,7,,6
pse,2026-09-01,Enel,7,AC,6
pse,2026-09-01,Enel,(7-22],AC,6
